tourism_id,tourism_name,tourism_description,category,city,price,rating,tourism_location
11,Curug Luhur Waterfall,"Sekitaran Bandung banyak sekali curug dari yang kekinian, terlupakan, kurang terdengar sampai baru dengar. Salah satunya adalah curug Luhur Cibodas di daerah Maribaya Lembang di sekitar area ini ada 3 curug, penduduk lokal menyebutnya curug Cibodas pernah disebut juga curug Keraton .. tapi sekarang lebih dikenal curug Luhur, selain yang ini ada juga curug Lalay yang tidak terlalu tinggi dan satu lagi curug yang paling tinggi diarea sini yaitu curug Luhur .. posisinya lebih kedalam lagi sekitar 3 km dari pos masuk, masih jarang orang yang kesana",Cagar Alam,Bandung,"45,000",4.2,"5PW6+3VR, Jl. Barukisu Kp. Gandok, Suntenjaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
12,Curug Malela,"Curug Malela adalah air terjun yang terletak di Kabupaten Bogor, Jawa Barat, Indonesia. Air terjun ini menawarkan pemandangan yang memukau dengan air yang jatuh dari ketinggian dan ditambah dengan latar belakang hutan yang hijau. Suasana sejuk dan alami membuat Curug Malela menjadi tempat yang cocok untuk bersantai dan menikmati keindahan alam. Pengunjung dapat berjalan menyusuri aliran sungai menuju air terjun dan merasakan keindahan alam yang menyejukkan.",Cagar Alam,Bandung,"5,500",4.5,"Sindangjaya, Kec. Gununghalu, Kabupaten Bandung Barat, Jawa Barat"
13,Curug Tilu Leuwi Opat,"Curug Tilu Leuwi Opat adalah air terjun yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Air terjun ini menawarkan keindahan alam yang spektakuler dengan tiga tingkatan air terjun yang mengalir mempesona. Pengunjung dapat menikmati pemandangan yang menakjubkan, suara gemuruh air terjun, dan segarnya air yang jatuh. Curug Tilu Leuwi Opat juga dikelilingi oleh hutan hijau yang memperkaya pengalaman alam. Tempat ini merupakan pilihan yang ideal bagi wisatawan yang ingin menikmati keindahan alam dan suasana yang tenang.",Cagar Alam,Bandung,"10,000",4.4,"6H5J+MRR, Ciwangun Indah Cp, Cihanjuang Rahayu, Parongpong, West Bandung Regency, West Java 40559"
14,Desa Wisata Kampung Cai Ranca Upas,"Desa ini menawarkan suasana pedesaan yang alami dan keindahan alam yang memukau, dengan pemandangan sawah, perkebunan teh, dan udara segar yang menyejukkan.",Desa Wisata,Bandung,"10,000",4.7,"Desa Alam Endah, Kecamatan Ranca Upas, Bandung, Jawa Barat"
15,Gua Pawon,"Gua Pawon adalah sebuah gua alami dan situs purbakala yang terletak di Desa Gunung Masigit, Kecamatan Cipatat, Padalarang, Kabupaten Bandung Barat, atau sekitar 25 km arah barat Kota Bandung. Merupakan sebuah tempat yang penting bagi orang Sunda karena di sanalah tempat berkumpulnya sesepuh Sunda yang sekarang menduduki bagian barat pulau Jawa. Di sana pernah ditemukan kerangka manusia purba yang konon adalah nenek moyang orang Sunda (masih diteliti di balai Arkeolog Bandung).",Cagar Alam,Bandung,"10,000",4.5,"Kp. Cibukur, Gunungmasigit, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554"
16,Gunung Lalakon,"Gunung Lalakon adalah gunung yang terletak di Kabupaten Garut, Jawa Barat, Indonesia. Gunung ini memiliki pemandangan alam yang memukau dengan hutan yang hijau dan udara yang segar. Pendakian ke puncak Gunung Lalakon menawarkan pengalaman petualangan yang menantang dengan jalur yang menanjak. Dari puncaknya, pengunjung dapat menikmati panorama yang memukau termasuk lembah dan gunung-gunung di sekitarnya. Gunung Lalakon cocok untuk para pendaki yang ingin mengeksplorasi keindahan alam dan menikmati kegiatan outdoor.",Cagar Alam,Bandung,0,4.8,"Situwangi, Cihampelas, West Bandung Regency, West Java"
17,Gunung Manglayang,"Gunung Manglayang adalah gunung yang terletak di Kabupaten Bandung, Jawa Barat, Indonesia. Dengan ketinggian sekitar 1.806 meter, gunung ini menawarkan pendakian menantang dan pemandangan alam yang memukau. Di Gunung Manglayang, pengunjung dapat menikmati keindahan hutan, air terjun, dan pemandangan Kota Bandung. Gunung Manglayang juga menjadi habitat bagi berbagai flora dan fauna yang melimpah, menjadikannya tempat yang ideal untuk kegiatan pendakian dan petualangan alam.",Cagar Alam,Bandung,"7,500",4.5,"Di antara Kota Bandung dan Kabupaten Sumedang, Jawa Barat, Indonesia."
18,Happyfarm Ciwidey,"Objek wisata alam dan edukasi tengah banyak menjamur akhir-akhir ini. Selain De Ranch dan Farmhouse Lembang, ada juga Happy Farm Ciwidey di Bandung. Objek wisata ini masih terbilang baru, karena baru bulan Juni 2019 ini berdiri. Konsepnya hampir sama, wisata alam dan peternakan dengan unsur edukasi. Sangat cocok menjadi tujuan wisata keluarga, terutama untuk anak-anak. Dan semakin seru karena bermain di area outdoor dengan udara sejuk.",Cagar Alam,Bandung,"15,000",4.3,"Cikembang, Panundaan, Kec. Ciwidey, Kabupaten Bandung, Jawa Barat 40973"
19,Kawah Putih,"Kawah Putih adalah sebuah tempat wisata di Jawa Barat yang terletak di Desa Alam Endah, Kecamatan Rancabali, Kabupaten Bandung Jawa Barat yang terletak di kaki Gunung Patuha. Kawah putih merupakan sebuah danau yang terbentuk dari letusan Gunung Patuha. Tanah yang bercampur belerang di sekitar kawah ini berwarna putih, lalu warna air yang berada di kawah ini berwarna putih kehijauan, yang unik dari kawah ini adalah airnya kadang berubah warna. Danau Kawah Putih sendiri berada pada ketinggian 2194 m tapi luas total Danau Kawah Putih 25 ha yang dipakai wisata 5 ha dan lokasi kawah sendiri 3 ha.",Cagar Alam,Bandung,"81,000",4.5,"Desa Alam Endah, Kecamatan Rancabali, Kabupaten Bandung Jawa Barat yang terletak di kaki Gunung Patuha."
20,Kawah Rengganis Cibuni,"Kawah Rengganis Cibuni adalah kawah aktif yang terletak di Garut, Jawa Barat, Indonesia. Kawah ini dikelilingi oleh perkebunan teh yang hijau. Pengunjung dapat menyaksikan fenomena geologi seperti uap belerang dan air panas yang mengalir di sekitar kawah. Kawah Rengganis Cibuni menawarkan pemandangan alam yang eksotis dan pengalaman mendebarkan bagi para pengunjung yang tertarik dengan keindahan alam dan geologi.",Cagar Alam,Bandung,"5,000",4.4,"Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973"
21,Kebun Binatang Bandung,"Kebun Binatang Bandung merupakan salah satu objek wisata alam flora dan fauna di Kota Bandung, Jawa Barat, Indonesia. Kebun Binatang Bandung terletak berdampingan dengan kampus Institut Teknologi Bandung dan Sungai Cikapundung.",Cagar Alam,Bandung,"20,000",4.1,"Jl. Kebun Binatang No.6, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132"
22,Kebun Tanaman Obat Sari Alam,"Kebun Tanaman Obat Sari Alam lebih terkenal dengan sebutan wisata pengobatan herbal, karena disana terdapat banyak sekali tanaman yang dijadikan sebagai pengobatan alternative. Kebun Tanaman Obat Sari Alam lebih dikenal oleh orang Bandung dengan sebutan KTO Sari Alam. Lokasi: Jl. Raya Ciwidey bandung km 26 no 8 rt 1 rw 2 kampung Andir, Cukanggenteng, Kec. Pasirjambu, kab Bandung, Jawa Barat 40972",Cagar Alam,Bandung,0,4.8,"Jl. Raya Ciwidey bandung km 26 no 8 rt 1 rw 2 kampung Andir, Cukanggenteng, Kec. Pasirjambu, kab Bandung, Jawa Barat 40972"
23,Orchid Forest Cikole,"Orchid Forest Cikole Lembang sudah berdiri sejak Agustus tahun 2017. Tempat ini merupakan taman anggrek terluas di Indonesia. Berada di tengah kawasan hutan lindung dan terbentang seluas 12 hektar. Setidaknya terdapat 157 jenis bunga anggrek beraneka macam dikembangkan di sini. Orchid Forest Cikole Bandung memfokuskan diri untuk memperkenalkan dan membudidayakan berbagai tanaman anggrek. Menggunakan metode lokal maupun internasional. Spesies Anggreknya tidak hanya berasal dari Indonesia yang memang merupakan negara kedua terbanyak memiliki varian anggrek. Tanaman anggrek di Orchid Forest juga berasal dari negara lain, seperti Venezuela, Argentina, Filipina, Peru, dan Amerika serikat.",Cagar Alam,Bandung,"50,000",4.6,"Genteng, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
24,Perkebunan Teh Malabar,"Salah satu perkebunan teh yang cukup terkenal di Jawa Barat adalah perkebunan teh Malabar yang dibangun pada masa penjajahan kolonial Belanda tahun 1896. Perkebunan ini masuk dalam wilayah kecamatan Pangalengan Kabupaten Bandung, kira-kira 45 km dari pusat Kota Bandung. Jika anda berkunjung ke daerah ini, maka mata akan akan dimanjakan dengan aktivitas penduduk setempat yang mayoritas penduduknya menjadi pemetik teh dan memelihara sapi perah. Jadi jangan heran apabila anda memasuki daerah ini, anda akan melihat penduduk yang sedang memetik di kebun teh dan memelihara sapi. Namun, untuk mencapai perkebunan Malabar yang ada di Pangalengan ini, anda harus menempuh perjalanan yang panjang dan berkelok-kelok membuat anda harus berhati-hati.",Cagar Alam,Bandung,"10,000",5,"QHCJ+CVJ, Banjarsari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378"
25,Sanghyang Heuleut,"Danau yang satu ini memiliki air jernih bernuansa kehijauan yang beadu indah dengan tebing batu berukuran besar di sekelilingnya. Di sela-sela bebatuan, kamu bisa menemukan pepohonan dan rerumputan hijau yang menyegarkan mata. Bebatuannya yang tinggi itu bahkan kerap digunakan sebagai tempat para traveler untuk meloncat indah menuju danau purba tersebut. Danau Sanghyang Heuleut memiliki kedalaman sekitar tiga meter. Jadi, sebelum kamu masuk ke dalam danau, pastikan kamu bisa berenang agar tidak tenggelam, atau setidaknya telah memiliki perlengkapan seperti jaket pelampung.",Cagar Alam,Bandung,"15,000",4.4,"Kp, Cipanas, Rajamandala Kulon, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554"
26,Saung Angklung Mang Udjo,"Saung Angklung Mang Udjo adalah tempat wisata budaya yang terletak di Bandung, Jawa Barat, Indonesia. Tempat ini memperkenalkan seni dan budaya Sunda, terutama alat musik tradisional angklung. Pengunjung dapat menyaksikan pertunjukan angklung yang menarik, beartisipasi dalam belajar memainkan angklung, dan menikmati tarian dan musik tradisional. Saung Angklung Mang Udjo merupakan destinasi yang cocok untuk menikmati keindahan seni dan budaya tradisional Sunda dalam suasana yang ramah dan interaktif.",Budaya,Bandung,"75,000",4.7,"Jl. Padasuka No.118, Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40192"
27,Selasar Sunaryo Art Space,"Selasar Sunaryo Art Space (SSAS) adalah galeri seni yang terletak di Bandung, Indonesia. Tempat ini menampilkan karya seni kontemporer dalam lingkungan yang indah. SSAS menggabungkan seni dan alam dengan instalasi seni di alam terbuka. Pengunjung dapat menikmati pameran seni, pertunjukan musik, dan acara budaya di sini.",Budaya,Bandung,"25,000",4.6,"Jl. Bukit Pakar Timur No.100, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198"
28,Sendang Geulis Kahuripan,"Wilayah ini lebih tepatnya berada di H Cikalong Wetan, BKPH Padalarang Perum Perhutani BKPH Bandung Utara. Dilihat dari kawasannya, mengingatkan saya kepada salah satu objek wisata yang berada di jawa tengah. Lebih tepatnya berada di klaten, Umbul Ponggok namanya. Bagi Sobat Native yang sudah pernah ke Umbul Ponggok, objek wisata sendang ini hampir sama persis. Hanya saja, di kawasan ini digunakan secara serba guna. Maksud dari serba guna adalah. Sumber mata air yang keluar dari objek wisata ini digunakan juga oleh sebagian masyarakat sekitar sebagai tempat mencuci. Tunggu dulu, jangan merasa jijik dahulu. Sumber mata air yang menghasilkan sendang ini hampir setiap menit mengalir air-air bersih.",Budaya,Bandung,"10,000",4.3,"Ganjarsari, Kec. Cikalong Wetan, Kabupaten Bandung Barat, Jawa Barat 40556"
29,Situ Cileunca,"Situ Cileunca yang berlokasi di Warnasari, Pangalengan, Bandung, Jawa Barat adalah sebuah danau buatan dengan luas mencapai 1.400 hektar dengan latar belakang perbukitan dan pegunungan yang indah. Selain difungsikan sebagai objek wisata, Situ Cileunca juga berfungsi sebagai pembangkit listrik tenaga air (PLTA). Air yang berasal dari danau tersebut dialirkan melalui Sungai Palayangan. Sungai ini pula yang sering dijadikan sebagai arena ber-arung jeram. Kedalaman danau mencapai 17 meter, dan sebelum tahun 1918, ini merupakan hutan belantara yang kemudian diubah menjadi situ, yang berfungsi melayani kebutuhan air masyarakat.",Cagar Alam,Bandung,"5,000",4.6,"Jl. Situ Cileunca, Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378"
30,Stone Garden Citatah,"Stone Garden, adalah sebutan nama untuk hamparan tanah yang diisi oleh formasi batuan tak beraturan yang indah dan membentuk taman alam.Bandung memiliki banyak wisata alam yang sangat luar biasa. Ternyata Bandung memiliki wisata alam gua, yaitu Gua Pawon dan wisata Stone Garden. Gua Pawon merupakan gua yang terbentuk pada zaman purba.Gua ini digunakan oleh manusia purba sebagai tempat berlindung. Dan uniknya di atas Gua Pawon terdapat hamparan bebatuan yang sangat indah dengan pemandangan luar biasa dikenal dengan nama Stone Garden -Taman Batu. Tidak kalah indah dengan wisata alam Tangkuban Perahu, Kawah Putih Ciwidey, dan Situ Patengan merupakan kawasan wisata alam yang sering dikunjungi oleh banyak wisatawan lokal maupun mancanegara.",Cagar Alam,Bandung,"15,000",4.4,"Gunung Masigit, Citatah, Kec. Cipatat, Kabupaten Bandung Barat, Jawa Barat 40554"
31,Sungai Palayangan,"Sungai Palayangan terletak di Kawasan Objek Wisata Situ Cileunca Pangalengan Kab. Bandung, sekitar 45 Km atau kurang lebih 2 jam perjalanan dari pusat Kota Bandung. Adalah lokasi Arung Jeram yang paling Populer di Kawasan Bandung Selatan karena memiliki beberapa kelebihan dibandingkan dengan sungai-sungai yang lain.\nBerikut adalah kelebihan-kelebihan Arung Jeram di Sungai Palayangan :",Cagar Alam,Bandung,"6,000",5,"RG6X+577, Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat 40378"
32,Taman Begonia,"Taman Begonia adalah taman bunga yang terletak di Lembang, Bandung, Indonesia. Taman ini menampilkan kebun bunga yang indah dan beragam, terutama begonia, dengan berbagai warna dan varietas yang menawan. Pengunjung dapat menikmati pemandangan bunga yang cantik dan mengambil foto yang menakjubkan di tengah-tengah kebun yang indah. Taman Begonia adalah tempat yang ideal untuk menghabiskan waktu santai dan menikmati keindahan alam serta keharuman bunga yang memikat.",Cagar Alam,Bandung,"25,000",4.4,"Jl. Maribaya No.120 A, Langensari, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
33,Taman Bunga Cihideung,Taman Bunga Cihideung mempunyai pesona alam yang sederhana namun mampu menghasilkan landscape yang menyita perhatian. Pesona dari kebun / taman bunga ini padahal hanya sebatas tumbuhan sejenis bunga. Lalu ada pula beberapa daya tarik lain sehingga membuat destinasi wisata alam ini masuk ke dalam list wisata Bandung. Salah satunya yaitu area spot foto yang sangat kekinian dan instagramable yang menjadi incaran utama wisatawan remaja. Khususnya bagi para influencer yang sedang mencari latar sempurna untuk sebuah konten.,Cagar Alam,Bandung,"5,000",4.2,"Jl. Kolonel Masturi No.223, Cihideung, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559"
34,Taman Hutan Raya Ir. H. Djuanda,"Taman Hutan Raya Ir. H. Djuanda adalah taman konservasi yang terletak di Bandung, Jawa Barat, Indonesia. Taman ini menawarkan keindahan alam yang meliputi hutan, air terjun, dan danau. Pengunjung dapat menikmati trekking, bersepeda, atau piknik di area yang luas. Taman Hutan Raya Ir. H. Djuanda juga menjadi tempat penelitian dan pelestarian flora dan fauna langka.",Budaya,Bandung,"15,000",4.6,"Kompleks Tahura, Jl. Ir. H. Juanda No.99, Ciburial, Kec. Cimenyan, Kabupaten Bandung, Jawa Barat 40198"
35,Taman Kupu-Kupu Cihanjuang,"Taman Kupu-Kupu Cihanjuang adalah taman wisata yang terletak di Bandung, Jawa Barat, Indonesia. Di taman ini, pengunjung dapat menikmati keindahan dan keunikan kupu-kupu yang berbagai jenis dan warna. Terdapat beragam tanaman dan bunga yang menjadi habitat bagi kupu-kupu. Taman ini memberikan pengalaman yang menenangkan dan edukatif tentang kehidupan kupu-kupu serta menjaga kelestarian alam.",Cagar Alam,Bandung,"10,000",4.1,"Jl. Cihanjuang Cibaligo Permai Raya No.58, Cihanjuang, Kec. Parongpong, Kabupaten Bandung Barat, Jawa Barat 40559"
36,Taman Wisata Alam Cikole,"Taman Wisata Alam Cikole adalah tempat wisata alam yang terletak di Lembang, Bandung, Indonesia. Taman ini memiliki luas sekitar 110 hektar dan menawarkan berbagai macam kegiatan seperti camping, hiking, off-road, dan flying fox. Pengunjung dapat menikmati keindahan alam, bermain air, dan menikmati kuliner khas daerah.",Cagar Alam,Bandung,"20,000",4.6,"Jl. Raya Tangkuban Parahu No.Km.8, Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391"
37,Taman Wisata Alam Ranca Upas,"Taman Wisata Alam Ranca Upas adalah sebuah tempat wisata alam yang terletak di Ciwidey, Bandung, Jawa Barat, Indonesia. Taman ini terkenal dengan keberadaan padang rumput yang hijau dan segar serta kawanan rusa yang berkeliaran. Pengunjung dapat menikmati suasana alam yang sejuk dan asri, serta melakukan berbagai kegiatan seperti camping, hiking, dan berkuda. Selain itu, di sini juga terdapat kolam pancing dan area piknik yang menyenangkan.",Cagar Alam,Bandung,"25,000",4.5,"Patengan, Rancabali, Bandung Regency, West Java 40973"
38,Tebing Karaton,"Tebing Keraton atau Tebing Karaton merupakan sebuah tebing yang berada di dalam kawasan Taman Hutan Raya Ir. H. Djuanda. Tebing ini terletak di Kampung Ciharegem Puncak, Desa Ciburial, Bandung, Jawa Barat, Indonesia. Dari Tebing Keraton dapat menikmati pemandangan spektakuler. Bukan lampu kota, melainkan hutan!",Cagar Alam,Bandung,"15,000",4.5,"Puncak Kordon, RT.2/RW.10, Ciburial, Kec. Cimenyan, Bandung Barat, Jawa Barat 40198"
39,Taman Nasional Ujung Kulon,"Taman nasional ini terkenal karena keindahan alamnya, termasuk hutan hujan tropis, pantai-pantai yang eksotis, dan keanekaragaman hayati yang melimpah. Selain itu, Taman Nasional Ujung Kulon juga menjadi tempat perlindungan bagi spesies langka seperti badak bercula satu.",Taman Nasional,Banten,"7,500",4.4,"Kecamatan Sumur dan Cimanggu kabupaten, Pandeglang, Provinsi Banten"
40,Desa Wisata Mangunan,"Desa Wisata Mangunan terletak di Kabupaten Bantul, Yogyakarta, Indonesia. Desa wisata ini terkenal dengan keindahan alamnya yang asri, terutama pemandangan dari bukit Mangunan yang mempesona. Di Desa Wisata Mangunan, pengunjung dapat melakukan berbagai aktivitas seperti hiking, camping, atau sekadar menikmati keindahan alam yang menakjubkan.",Desa Wisata,Bantul,"5,000",4.7,"Jl. Imogiri-Bantul KM. 25, Dusun Darmogrande, Desa Mangunan, Kecamatan Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta, Indonesia"
41,Kawah Ijen,"Kawah ini terkenal karena keindahan pemandangan alamnya, terutama fenomena api biru yang muncul di malam hari. Selain itu, Kawah Ijen juga terkenal dengan kandungan belerangnya yang menghasilkan salah satu kawah dengan asap belerang terbesar di dunia.",Cagar Alam,Banyuwangi,"7,500",4.7,"Kabupaten Banyuwangi, Jawa Timur"
42,Desa Wisata Cinangneng,Desa ini menawarkan pengalaman yang autentik dalam mengenal kehidupan pedesaan serta keindahan alam dan budaya lokal.,Desa Wisata,Bogor,"100,000",4.4,"Jl. Babakan Kemang, RT.1/RW.2, Cihideung Udik, Kec. Ciampea, Kabupaten Bogor, Jawa Barat 16620"
43,Kebun Raya Bogor,"Kebun raya ini memiliki luas sekitar 87 hektar dan merupakan salah satu kebun raya terbesar di Indonesia. Kebun Raya Bogor memiliki koleksi tumbuhan yang sangat beragam, termasuk berbagai spesies tumbuhan langka dan koleksi flora endemik Indonesia.",Cagar Alam,Bogor,"20,000",4.5,"Jl. Ir. H. Juanda No.64, RT.01/RW.13, Paledang, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16122"
44,Taman Wisata Alam Cibodas,"Taman Wisata Alam Cibodas adalah tempat wisata alam yang terletak di kawasan Puncak, Jawa Barat, Indonesia. Taman ini memiliki area seluas 1.300 hektar dengan berbagai jenis flora dan fauna. Pengunjung dapat menikmati pemandangan alam, berkemah, hiking, atau mengunjungi kebun bunga yang indah di dalamnya. Taman Wisata Alam Cibodas juga memiliki area peristirahatan yang nyaman bagi pengunjung.",Cagar Alam,Bogor,"15,500",4.6,"Jl. Kebun Raya Cibodas, Sindangjaya, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat 43253"
45,Taman Wisata Alam Ciloto,"Taman Wisata Alam Ciloto adalah tempat wisata alam di Puncak, Jawa Barat, Indonesia. Taman ini memiliki pemandangan indah, udara sejuk, dan banyak flora dan fauna. Pengunjung dapat hiking, camping, dan melihat kebun bunga yang cantik. Taman ini juga terkenal dengan Istana Cipanas, dulunya menjadi kediaman Presiden Soeharto.",Cagar Alam,Bogor,"20,000",4.6,"Jln. Ziwa Besar, Ciloto, Kec. Cipanas, Kabupaten Cianjur, Jawa Barat 43253"
